departamento,nombre,calificacion,ubicacion
Santa Cruz,Hotel La Casona,6,Av. Carlos Daher Harb S N Pasillo La Williams Pasillo la Williams Pasillo La WilliamsCamiri 
Pando,Dorado Hotel,6,Final Avenida Internacional 583 Cobija 
Pando,Estrella Del Norte,5,Calle Miguel Farah 48 Barrio Conavi CobijaCobijaPando 
Pando,Amazonia Hotel,4,Avenida 6 De Agosto Esquina Avenida PandoCobija 
Pando,Un Hotel,5,Leoncio Justiniano Montero Senac s/n Cobija 
Cochabamba,Monserrat,6,Street España # 342 between Mayor Rocha and EcuadorCochabamba 
Cochabamba,Hotel Hacienda de Kaluyo,10,"Tajra N777 , La Angostura Desvio a Tarata Km. 4CochabambaZona Kaluyo "
Cochabamba,Apart Hotel Regina,8,España 636 Entre Reza Y El Prado entre Reza y el pradoCochabamba 1321 
Cochabamba,La Colonia,6,Calle Mostajo Esq Atahuallpa 100 Cochabamba 
Cochabamba,Cesar s Plaza Hotel,6,Calle 25 De Mayo S 0210 Cochabamba 
Cochabamba,Gran Hotel Ambassador,8,Calle España 349 Entre Mayor Rocha Y Ecuador CentralCochabamba 
Cochabamba,Hotel Aranjuez Cochabamba,8,Calle Buenos Aires E563 P.O. Box 3056Cochabamba 
Cochabamba,Gran Hotel Toloma,6,Av. Oquendo N 690 Esquina Pedro Borda Esquina Pedro BordaCochabamba 9999 
Cochabamba,Hotel La Corona,8,Calle Jose de la Reza 433 Cochabamba 9999 
Cochabamba,Hotel Regina Resort & Convenciones,8,Prolongacion Calle Cochabamba Cochabamba 
Cochabamba,Regina Iii,4,CALLE NATANIEL AGUIRRE 718 COCHABAMBA 
Cochabamba,Hotel Diplomat,8,Av. Ballivian 611 P.O. Box 5824Cochabamba 
Cochabamba,Portales,8,AV PANDO 1271 ZONA RECOLETA COCHABAMBA 
Cochabamba,Americana Hotel,6,Esteban Arce 788 4910 Cochabamba 
Cochabamba,Gran Hotel Cochabamba,6,Plaza Ubaldo Anze La Recoleta S N RecoletaCochabamba 
Cochabamba,Felipez Hotel,6,Calle Espana Nro. 172 Entre Av. Heroinas Y C. Colombia Entre Avenida Heroínas y Calle ColombiaCochabamba 
Cochabamba,Adara Hotel,5,Calle Junín 867 Entre Teniente Arévalo y La Paz CentralCochabamba 
Cochabamba,Hotel Attridge,6,Av. Ballivian 0530 Acera EsteA Pocos Pasos De La Plaza ColónCochabamba 
Cochabamba,Hostal Olympic,6,Avenida Aniceto 766 Cochabamba 
Cochabamba,Hotel Tamesis,6,Calle Paccieri 684 Cochabamba 
Cochabamba,Hotel El Super 8,4,Hamiraya 475 Entre Jordan Y Calama Entre Jordan y CalamaCochabamba 9999 
Cochabamba,Apart Hotel Violettas,6,Calle Lanza Nº 0464 Entre Paccieri Y Venezuela Entre Paccieri Y Venezuela5914 Cochabamba 
Cochabamba,Outlanders Hostel,4,Avenida Salamanca 860 Cochabamba 
Cochabamba,Hotel Ginas,4,Mexico 346 Entre C. Espana Y C. 25 De Mayo Entre España y 25 de MayoCochabamba 
Cochabamba,Anteus,6,Avenida Potosi 1365 COCHABAMBA 
Cochabamba,Hotel Regina,6,Reza 359 Between Calle Spain and Prado (Central)Cochabamba 
Cochabamba,Camino Plaza,6,Huallparimachi Plazuela De Cala Cala 1862 Plazuela De Cala CalaCochabamba 
Cochabamba,Capitol,6,"Calle Colombia, E-415 COCHABAMBA "
Cochabamba,Running Chaski Hostel,5,Calle España 449 Casi Calle MéxicoCochabamba 
Cochabamba,Residencial Jordan,2,Antezana 671 Cochabamba 
Cochabamba,Hostal Jordan,4,25 de Mayo 651 SudoesteCochabamba 
Cochabamba,El Jardín Suites and Guest House,5,Calle Baptista 722 Cochabamba 3085 
Cochabamba,Apart Hotel BTP City Apartments,4,Ladislao Cabrera E-157 SudoesteCochabamba 
Cochabamba,Ñaupa House Hostel,2,Calle España  250 Cochabamba 
Cochabamba,Olgas Hotel,2,Calle Colombia 467 Zona CentralCochabamba 
Cochabamba,Jaguar House,4,Calle Baptista entre La Paz y Tte. Arevalo #746 Entre La Paz y Tte. ArevaloCochabambaCercado 
Cochabamba,Apartments Torre Azul,10,Av. Ayacucho 0893 esq. Rafael UrquidiCochabamba 
Cochabamba,Hotel Oblitas,5,Avenida Oblitas 220 Cochabamba 
Cochabamba,El Prado Hotel,6,Av. Ballivian 709 Entre La Paz Y Tte. Arevalo entre La Paz y Tte. Arevalo CochabambaDepartamento Cochabamba 
Cochabamba,Samay Hostel,4,1474 Colombia Street Cochabamba 
Cochabamba,Cabaña Las Lilas Hostel,4,Zona Linde Tiquipaya DepartamentoCochabamba 
Cochabamba,Brasilia Hostel,5,Calle Brasil 560 Entre Lanza Y San MartínCochabamba 
Cochabamba,Hotel Moraine,6,Avenida Ayacucho 356 Cochabamba 
Cochabamba,Hotel Briston,6,Calle Suipacha 181 Cochabamba 2500 
Cochabamba,Hotel Boutique La Casa de Margarita,5,Pasaje Juan Jose Quezada 449 Queru-QueruEntre el Parque Anze y la CicloviaCochabamba 
Cochabamba,Hostal Arevalo,5,Teofilo Vargas 110 Cala CalaCochabamba 
Cochabamba,Armenia Hotel,6,Calle General Acha 560 Entre Falsuri Y TumuslaCochabamba 
Cochabamba,Hotel Ganesh Srl,6,Tupac Amaru 1772 Cochabamba 
Cochabamba,Jardines Del Cerro Hotel Boutique,6,Urbanizaciã N Irlandes Pasaje Jacaranda 30 591 Cochabamba Zona Muyurina Cochabamba 2500 
Cochabamba,Hotel Boutique Casamagna,10,Calle Obispo Anaya 0 260 CochabambaCercado 
Cochabamba,Huper Hotel Boutique,6,Avenida Portales Edificio Huper Mall Piso 6 Entre Melchor Urquidi y Pandu Entre Avenida Pando y Avenida Melchor UrquidiEdificio Hupermall 6toPiso 
Cochabamba,Hotel Luxor,8,Calle La Paz 439 Entre Lanza Y ValdiviesoCochabamba 
Cochabamba,Kokusai Hotel,6,Avenida Ayacucho 552 Entre Ladislao Cabrera Y CalamaCochabamba 
Cochabamba,Concordia Hospedaje,5,Juan De La Cruz Torres 1414 Cochabamba 
Cochabamba,Hostal Costa De Marfil,4,Avenida Ayacucho 863 Entre Costanera Y Teniente ArévaloCochabamba 
Cochabamba,Hostal Versalles,4,Avenida Ayacucho 714 Entre Ladislao Cabrera Y AromaCochabamba 9999 
Cochabamba,Hotel Viggiatore,5,Calle Tomas Frias 1213 Entre Calle Beni Y Calle Aniceto PadillaCochabamb 
Cochabamba,Portal Rent Apart,4,Calle Nicolas Ortiz 226 Entre Melchor Perez y Calampampa Entre Melchor Perez Y CalampampaCochabamba 
Cochabamba,La Fontaine Hotel,6,Calle Hamiraya 181 CentralCochabamba 
Cochabamba,Montanero Lodge,5,Final avenida reducto Montesillo Bajo Cochabamba 2500 
Cochabamba,Las Colinas Apart,5,Papa Alejandro VI 89 Zona El Frutillar-PacataCochabamba 
Cochabamba,Nativa Suites,5,Entre Calle Espana Y Avenida Heroinas 0344 Pasaje Fidelia De SanchezEdificioCochabamba 
Cochabamba,Selenza Apart Hotel,5,Avenida Portales 420 Entre La Avenida Santa Cruz Y Potosi 
Cochabamba,Residencial Velia Victoria,5,Avenida Portales 855 Cochabamba 
Cochabamba,Hotel Galarza,5,Calle Esteban Arze 1313 Entre Tarata y Totora 
Cochabamba,Hotel Catena,8,"Pedro Blanco #458 entre Av. Potosi y C. Tomas Frías 1234 Cochabamba, Bolivia "
Cochabamba,Hotel Domani,6,"Federico Blanco #913 casi esq. Oquendo 2500 Cochabamba, Bolivia "
Cochabamba,Portal Rent Apart 6,6,Canichana 139  
Cochabamba,Portal Rent Apart 1,6,Av America Casi Esquina Sta Cruz Ed Saavedra  
Cochabamba,Portal Rent Apart 2,6,Calle Beni Casi Esquina Santa Cruz Edificio Jose Maria Dpto1 D  
Cochabamba,Portal Rent Apart 3,6,Plaza De Cala Cala Ed. Patmos  
Cochabamba,Portal Rent Apart 4,6,Av Uyuni Lado Home Center Ed. Guadalupe  
Cochabamba,Portal Rent Apart 7,6,"Pedro Blanco Casi Av Villarroel Ed. Puerto Vallarta, Dep 7D  "
Cochabamba,Apartasuites By Gran Hotel Cochabamba,6,Plaza Ubaldo Anze E 416  
Cochabamba,Portal Rent Apart 5,6,Calle 23 De Enero Casi Av Beijing Ed. Partenon  
Cochabamba,Departamento De Lujo,6,Pedro Blanco Edificio Continental Departamento 9I  
Cochabamba,Hostal Jem,5,Antezana Entre Sucre Y Jordan 341  
Cochabamba,Elite Apartment,6,A.Quijarro #1747 Departamento 9H Edificio Altamira  
Cochabamba,Apartamento Con Jardin,5,Calle Bolivia 1022  
Cochabamba,Apartamentos Sercan,5,Calle Baldivieso Edif. 662 Apt. 1D Alameda  
Cochabamba,Rosales Norte Apartamentos Gch,5,Idelfonso Murguia  
Cochabamba,Vila Festiva 148e,5,Calle Colombia Casi Esquina Av. Ayacucho Nro 146  
Cochabamba,dulces SueÑos,5,Calle Sin Numero Collpapampa Tiquipaya Cochabamba  
Cochabamba,San Martin,5,Pasaje Grover Suarez Edificio Geotecnia  
Cochabamba,Garzonier Centrico,5,Carlos Davis #1577Casi Belzu Piso 3 Departamento 31  
Cochabamba,C&r Apartments,5,Calle Litoral 288 7Th Floor  
Cochabamba,Apartamento Familiar Ideal,5,Baptista #779  
Cochabamba,Torre Isos,5,Avenida Papa Paulo #1121 Depto. 10E Edificio Torre Isos  
Cochabamba,Amplio Departamento,5,Calle Adela Zamudio Edificio Cipres  
Cochabamba,Departamento Lincoln Cochabamba,5,Av. Quilla Esq Av. Gabriel Rene Moreno Edificio Catalania Piso 3 Dpto.3E  
Cochabamba,Garzonier Confortable en Tiquipaya,5,Calle Cochabamba Tiquipaya Bolivia S N Piso 2  
Cochabamba,Apartamento Mira 2,5,Avenida Melchor Urquidi Edificio Paseo Recoleta 10I  
Cochabamba,Wayrashaus,5,Ayoreo Entre 23 De Enero Y Pasaje Itonama 112  
La Paz,Ecolodge Copacabana,4,Av. Costanera Copacabana 
La Paz,Hotel Rosario Lago Titicaca,8,Av. Costanera Esq. Rigoberto Paredes Copacabana 02-1701Departamento La PazManco Kapac 
La Paz,Gloria Copacabana,6,Avenida 16 De Julio S/N CopacabanaLago Titicaca 
La Paz,Hotel Onkel Inn Torres de Copacabana,6,Avenida Costanera 257 Playa de CopacabanaZona ChaapampaCopacabana 
La Paz,Hotel Wendy Mar,4,Avenida 16 De Julio Sin Numero Copacabana 9999 
La Paz,Hotel Utama,6,Calle Michael Perez 60 Esquine San Antonio s/nCopacabana 
La Paz,Hotel Estelar del Lago Titicaca,6,Avenida Costanera s/n Esquina Avenida BuschCopacabana 
La Paz,Hotel Perla del Lago,6,Colque pata y 3 de Mayo Copacabana 0510 
La Paz,Hostal Brisas del Titicaca,2,Av. 6 de Agosto 9999 Copacabana 
La Paz,La Aldea Del Inca,6,San Antonio 2; Entre C General Jauregui Y C Michel Perez Entre Calle General Jauregui Y Calle Michel PerezCopacabana 
La Paz,Hostal Villa Imperial,4,Av. 6 de Agosto Copacabana 
La Paz,Hostal Puerto Alegre,5,Manuel Mena Mejia 190 Copacabana 9999 
La Paz,Hotel Lago Azul,6,Avenida Costanera No. 13 CopacabanaManco Kapac 
La Paz,Hostal Real los Andes del Lago,4,Av. Busch S N Entre Av. 16 De Julio Y Costanera Entre Avenida 16 de Julio Y CostaneraCopacabana 0001 
La Paz,Hostal Florencia,2,Calle Mena Mejia 120 Copacabana 
La Paz,Hotel La Cupula,5,Calle Michel Perez 1-3 CopacabanaDepartamento La Paz 
La Paz,Hostal Olas Del Titicaca,5,Avenida 16 De Julio Cruce Con Avenida BuschCopacabana 
La Paz,Hostal Flor de Mi Tierra,2,Ruta Nacional 2 Avenida PanamericanaCopacabana 5912 
La Paz,Hotel Paraiso del Lago,5,Avenida Busch 1000 Copacabana 
La Paz,Hostal Joshua,5,Calle Manko kapac Copacabana 
La Paz,Hostal Piedra Andina,5,Calle Sin Nombre Urbaniacion Bella VistaZona Bella VisitaCopacabana 
La Paz,Hotel Mirador del Lago,5,Avenida Costanera Esquina Buch S/Nzona LitoralCopacabana 0012 
La Paz,Hostal Sonia,5,Ruta Nacional 2 Calle Murillo Esq Rosa Tejada 256Copacabana 
La Paz,Hostal Pizarro,4,Avenue Bush Copacabana 1234 
La Paz,Hostal Las Balsas,5,Avenida 16 De Julio s/n Esquina SaavedraZona GaritaCopacabana 
La Paz,Hotel Espejo,4,Calle Jauregui Frente Plaza 2 De FebreroCopacabana 
La Paz,Kusi,5,Avenida Costanera Esquina Rigoberto Paredes 3er Piso 
La Paz,Hostal Las Olas,5,Calle Michel Perez Nº1 3 Calle Jauregui  
La Paz,Estrella Del Lago,5,Avenida Gonzalo Jauregui. A Media Cuadra De La Avenida Costanera  
La Paz,Hostal Luz Yhobimar,5,Calle Max Paredes Entre Avenida16 De Julio Y Bolivar S N  
La Paz,Hostal Palacio Del Inca,5,Camino Norte Sur A 100 Metros De La Punta Del Inca  
La Paz,Hostal La Casa Del Sol,5,Calle Jose Ballivian Zona Munaypata  
La Paz,Rio Selva Resort Yungas,10,Yungas COROICO 
La Paz,Villa Saracena,6,Coroico; Provincia De Nor Yungas; Departmento La P Coroico 
La Paz,El Viejo Molino,6,Camino de Santa Bárbara - Nor Yungas LA PAZ 
La Paz,Hotel Gloria Coroico,6,Av. Keneddy final CoroicoLa Paz 
La Paz,Hotel Viejo Molino Coroico,10,15 Min Walking Of Coroico´s Main Square On The Way To Santa Barbara Community Coroico 
La Paz,Hotel Esmeralda,4,Calle Julio Zuazo Cuenca 725 Coroico 2040 
La Paz,Villa Bella,5,"Nor Yungas A 1,05 km De YolosaCamino A Coroico ViejoCoroico Viejo "
La Paz,Pedacito de Cielo,5,Ubicado En Carretera Nor Yungas ComunidadAl Lado De La Escuela De La ComunidadCoroico Viejo 
La Paz,Hotel Bella Vista,5,Felix Reyes Ortiz A 120 MeterDel centroCoroico 
La Paz,Blue Pine Farm Lodge Cabanas,5,Ex Ferrocarril Lacahuarca  
La Paz,Villa Hermosa,5,Carretera 3 Desvio Campamento Abc  
La Paz,Ecolodge Copacabana,4,Av. Costanera Copacabana 
La Paz,La Casona Hotel Boutique,8,Av. Mariscal Santa Cruz 938 9999 La Paz 
La Paz,Hotel Fuentes,4,Calle Linares 888 Entre Sta Cruz y SagarnagaCentro De La PazLa Paz 9999 
La Paz,Hotel Torino,2,Calle Socabaya Zona Central 457 La Paz City CentreLa Paz 
La Paz,Condeza,4,Diagonal Juan XXIII Nº 190 entre Illampu y LinaresLa Paz 
La Paz,Hotel Avenida,4,Av Montes 690 Esq. Bozo Esquina BozoLa Paz 9999 
La Paz,Hotel Rosario La Paz,6,Av. Illampu 704 Casilla Centro12446 La Paz 
La Paz,Stannum Boutique Hotel & Spa,8,"2631 Avenida Arce Torre Multicine, Piso 12La Paz "
La Paz,El Dorado,6,Av. Villazon S Nº P.O. Box 77Correo CentralLa Paz 
La Paz,Hotel Europa La Paz,8,Calle Tiahuanaco N. 64 La PazBolivia 
La Paz,Rio Selva Resort Yungas,10,Yungas COROICO 
La Paz,Hotel Calacoto,8,Calle 13 Esq Av Sanchez Bustamante 8009 La Paz 
La Paz,Plaza,8,Av 16 De Julio 1789  
La Paz,Hotel Rosario Lago Titicaca,8,Av. Costanera Esq. Rigoberto Paredes Copacabana 02-1701Departamento La PazManco Kapac 
La Paz,Madre Tierra,6,Av. 20 de Octubre # 2080 Zona SopocachiLa Paz 
La Paz,Real plaza hotel & Convention Center,6,Av Arce 2177. Po Box 8689 2177 Sopocachi SopocachiLa Paz 
La Paz,Hotel Presidente,6,Calle Potosí 920 La Paz 
La Paz,Hotel Gloria La Paz,6,Calle Potosi Nro. 909 CentralLa Paz 
La Paz,Osira,6,"Av. 20 de Octubre, 1494 LA PAZ "
La Paz,Villa Saracena,6,Coroico; Provincia De Nor Yungas; Departmento La P Coroico 
La Paz,Hotel Boutique El Consulado,6,Calle Carlos Bravo 299 Tiwanaku CornerLa Paz 
La Paz,Residencial Latino,4,Calle Junin n. 857 La Paz 
La Paz,A La Maison,6,Pasaje Munoz Cornejo 15 La Paz 
La Paz,Apart Hotel Los Delfines,6,Claudio Aliaga. Calle 17 De Calacoto 8275 Esq. Claudio Aliaga 8275 CalacotoLa Paz 
La Paz,Hotel Lp Columbus,6,Av. Illimani 1990 Frente Stadium Hernando Siles La Paz 5432 
La Paz,Suites Camino Real,8,Av. Ballivian 369 Y Esquina Calle 10 Esquina Calle 10La Paz 
La Paz,Ritz Apart Hotel,8,Plaza Isabel La Católica Nro. 2478 Av. ArceLa Paz 
La Paz,El Rey Palace Apart Hotel,6,Av 20 De Octubre 1947 SopocachiLa Paz 10727 
La Paz,Hostal Naira,6,Sagarnaga No 161 Plaza San FranciscoLa Paz 
La Paz,El Viejo Molino,6,Camino de Santa Bárbara - Nor Yungas LA PAZ 
La Paz,Camino Real Aparthotel & Spa,10,Capitan Ravelo 2123 P.O. Box: 5904La Paz 
La Paz,Casa Grande Suites,8,Av. Ballivian Esq. Calle 17 Nº 1000 Calacoto Esq. Calle 17 Nº 1000Zona CalacotoLa Paz 
La Paz,Copacabana,6,"Avenida 16 De Julio, 1802 LA PAZ "
La Paz,Alcalá Apart Hotel,6,Calle Víctor Sanjinéz 2662 Plaza España Sopocachi Plaza España - Sopocachi Plaza España - SopocachiLa Paz 
La Paz,Pan American Hotel,6,Mexico 1555 y Otero de la Vega entre callesNicolas Acosta y Otero de la VegaLa Paz 
La Paz,Gloria Copacabana,6,Avenida 16 De Julio S/N CopacabanaLago Titicaca 
La Paz,Hotel Berlina,4,Av Illampu 761 Entre Santa Cruz Y Graneros Entre Santa Cruz y Graneros Entre Santa Cruz y GranerosLa Paz 
La Paz,Hotel Oberland,6,Av. Florida C.2 Mallasa C.2 MallasaLa Paz 
La Paz,Hotel Sagarnaga,4,Sagarnaga 326 Zona RosarioLa Paz 
La Paz,Las Brisas,6,Illampu Nº742 El RosarioLa PazProvinz Murillo 
La Paz,Hotel Gloria Coroico,6,Av. Keneddy final CoroicoLa Paz 
La Paz,San Bartolome,6,CHULUMANI SUD - YUNGAS LA PAZ 
La Paz,Dm Andino,10,"AV. MANUEL CASTILLO, 5 LA PAZ "
La Paz,Casa Grande Hotel,8,"Calle 16 No.8009, Calacoto CalacotoLa Paz "
La Paz,Casa de Piedra Hotel Boutique,5,Jenaro Sanjinez N 451 Centro de La PazLa Paz 9999 
La Paz,Hotel Rio Selva Aranjuez,10,Avenida Victor Paz Estenssoro N.10 Sobre El Puente Aranjuez Sobre El Puente AranguezZona Sur AranjuezLa Paz 
La Paz,Hotel Onkel Inn Torres de Copacabana,6,Avenida Costanera 257 Playa de CopacabanaZona ChaapampaCopacabana 
La Paz,Hotel La Paz,6,Avenida Sucre 1081 NorteLa Paz 
La Paz,Sajama Hotel Restaurante,6,Calle Illampu775 Esquina Avenida Santa CruzLa Paz 
La Paz,Hotel Milton,4,Calle Illampu Esquina Calderón 1123 CasillaLa Paz 
La Paz,Hotel Castilla,2,Avenida Iturralde 1239 La Paz 
La Paz,Hotel Wendy Mar,4,Avenida 16 De Julio Sin Numero Copacabana 9999 
La Paz,Hotel Utama,6,Calle Michael Perez 60 Esquine San Antonio s/nCopacabana 
La Paz,Hotel Estelar del Lago Titicaca,6,Avenida Costanera s/n Esquina Avenida BuschCopacabana 
La Paz,Estrella Andina,6,Calle Illampu 716 La Paz 
La Paz,Hotel Perla del Lago,6,Colque pata y 3 de Mayo Copacabana 0510 
La Paz,Casa Fusion Hotel Boutique,8,Miguel de Cervantes 2725 La Paz 9999 
La Paz,Eurotel Davina,8,Avenida Illimani 1706 Zona MirafloresLa Paz 
La Paz,Victoria Apart Hotel,6,Av. Sucre 1055 La Paz City CentreLa Paz 9999 
La Paz,Hotel Cordillera Real,6,Avenida America 494 Casi Esquina PandoLa Paz 
La Paz,Golden Palace,6,Sagarnaga No 531 La Paz 9999 
La Paz,Hotel Garcilazo,2,Calle Isaac Tamayo 560 Centro De La PazLa Paz 9999 
La Paz,Hotel La Valle,4,Calle Evaristo Valle 153 La Paz 9999 
La Paz,Bolivian Suites Achumani,4,Calle Manuel Cáceres 45 Entre calles 14 y 15AchumaniLa Paz 9999 
La Paz,Inca's Room Hotel,4,Calle Illampu 670 La Paz 9999 
La Paz,Hotel La Joya,6,Max Paredes Street 541 La Paz 2153 
La Paz,Casa Colonial San Pedro,6,Calle Colombia 314 Zona San Pedro Zona San PedroLa Paz 0000 
La Paz,Bash and Crash Hostel,4,Ingavi Street 861 La Paz 
La Paz,Llama s House,4,Calle Ricardo Mujia N 766 Sopocachi SopocachiLa Paz 
La Paz,Onkel Inn,4,Colombia 257 Galeria ColonialLa Paz 
La Paz,Hotel Monte Carlo,6,Av. Montes Nro. 767 Centro De La PazLa Paz 9999 
La Paz,Almudena Apart Hotel,8,Carlos Medinacelli Esq Borda 1022 Esquine BordaZona SopocachiLa Paz 9999 
La Paz,Boutique Eco Resort & Spa Allkamari,6,Valle De Las Ánimas C. Camiraya S N La Paz Zona Chañoco - UniValle de Las ÁnimasPalca 
La Paz,Hostal Republica,6,Comercio 1455 esquina Bueno (Zona Central)La PazBolivia 
La Paz,Casa Prado Suites,6,Avenida 16 de Julio El Prado 1615La Paz 
La Paz,Muzungu Hostel,4,Calle Illampu A441 esquina Santa CruzLa Paz 
La Paz,Hostal Maya Inn,4,Calle Sagarnaga 339 Zona Rosario Cerca Plaza San FranciscoUbicado en la zona Central de La PazLa Paz 
La Paz,Hostal Copacabana,5,Calle Illampu Numero 734 Stadtzentrum La Paz9999 La Paz 
La Paz,La Colina Bed and Breakfast,6,Av. Los Jasminez No.17 Urb. Auquisamana Urb. Alto AuquisamanaLa Paz 2200 
La Paz,Hostal Melody,6,Almirante Grau esq. General Gonzales #416 9999 La Paz 
La Paz,Hostal Brisas del Titicaca,2,Av. 6 de Agosto 9999 Copacabana 
La Paz,La Aldea Del Inca,6,San Antonio 2; Entre C General Jauregui Y C Michel Perez Entre Calle General Jauregui Y Calle Michel PerezCopacabana 
La Paz,Hostal Villa Imperial,4,Av. 6 de Agosto Copacabana 
La Paz,Hostal Puerto Alegre,5,Manuel Mena Mejia 190 Copacabana 9999 
La Paz,Loki Hostel,5,Americas 120 Plaza Alonso de MendozaLa Paz Zona 9La Paz 
La Paz,Hotel Lago Azul,6,Avenida Costanera No. 13 CopacabanaManco Kapac 
La Paz,B&B Piacere Hotel,5,Calle Harrington 745 Esquina Abdón SaavedraSopocachiLa Paz 
La Paz,Hostal Ananay,4,Jaen 710 La Paz 
La Paz,La Posada de la Abuela Obdulia,5,Linares 947 Zona El RosarioLa Paz 
La Paz,The Adventure Brew Hostel,5,Avenida Montes Nº 503 533 Zona 10La Paz 
La Paz,Hotel Ensueños,5,Avenida 6 De Marzo 450 Entre Calles 4 y 512 De OctubreEl Alto 
La Paz,Hostal Isidoros,6,Calle Cobija Nro. 120 Esquina de Calle Cobija con Calle ConstitucionLa Paz 
La Paz,Kroosty & Kelly Homestay,2,Pasaje chaco #1077 pasaje Chaco entre General Lanza y Arturo Borda Entre Arturo Borda y General LanzaZona Cristo ReySopocachi 
La Paz,Landscape Bolivian Home B&B,4,Reseguín 1945 Entre Aspiazu Y Harrington Sopocachi Entre Aspiazu Y HarringtonSopocachiLa Paz 
La Paz,Hostal Real los Andes del Lago,4,Av. Busch S N Entre Av. 16 De Julio Y Costanera Entre Avenida 16 de Julio Y CostaneraCopacabana 0001 
La Paz,Los Sauces Apart Hotel,6,Avenida Arequipa 8283 Esquina Los SaucesLa Paz 
La Paz,Monticulo Apart Hotel,5,Calle Macario Pinilla 580 SopocachiLa Paz 
La Paz,Hotel MITRU,8,Edificio Torre Girasoles Avenida 6 de Agosto N°2628Entre Pinilla y GosalvezLa Paz 
La Paz,Bolivian Passport,5,Avenida Perú Esquina Beni  291La Paz 
La Paz,Atix Hotel,8,Calacoto Calle 16 N 8052 between Patiño and Bustamante between Julio Patiño and Sánchez BustamanteCalacotoLa Paz 
La Paz,Residencial Alta Vista,4,Calle Linares 826 Entre Santa Cruz Y Sagarnaga Entre Santa Cruz y Sagarnaga Entre Santa Cruz y SagarnagaLa Paz 
La Paz,Hotel Alexander,6,Av. Jorge Carrasco Esq. Calle 3 Nro.61 El Alto Calle 3 No 61Zona 12 de OctubreEl Alto 
La Paz,Landscape Apartment B&B,4,Av. Arce #2652 Frente Multicine. Edif. Mila Bloque A Piso 5 Apt. 501. Sopocachi Centro 5th FloorApartment 501Front of Multicine 
La Paz,Elegance Hotel,6,Av. Saavedra MirafloresLa Paz 1845 
La Paz,Hotel Boutique Palma Real,6,Calle Goitia N. 162 Av. Arce La Paz 
La Paz,Hotel Viejo Molino Coroico,10,15 Min Walking Of Coroico´s Main Square On The Way To Santa Barbara Community Coroico 
La Paz,Hostal Florencia,2,Calle Mena Mejia 120 Copacabana 
La Paz,Bolivian Rooms & Suites (Zona Sur),6,Avenida Jose Aguirre Achá 490 Barrio Los PinosLa Paz 
La Paz,Hostel Porvenir,6,Calle Murillo Esquina Tarija # 1014 La Paz 
La Paz,Hotel Diamante Azul,6,Aroma No. 40 Y Esq. Illampu Esquina IllampuLa Paz 
La Paz,Hotel Savoy,5,Calle Chuquisaca 675 San SebastiánLa Paz Zona 9La Paz 
La Paz,Flavias Hostal Spa Sauna,6,Nanawa 1874 Miraflores Centro Miraflores CentroLa Paz 9999 
La Paz,York B&B,4,Calle Sagarnaga 229 La Paz 
La Paz,Tinka,6,Calle Jacinto Benavente Pasaje #250 Pasaje 250La Paz 0010 
